CustomerID,Lookalikes
C0001,"[['C0190', 0.9687859885110042], ['C0181', 0.9508502793850823], ['C0048', 0.9429693455883603]]"
C0002,"[['C0088', 0.9909935965023925], ['C0134', 0.9610049060745005], ['C0106', 0.8990914864519157]]"
C0003,"[['C0052', 0.9837077693404185], ['C0152', 0.9695870377873116], ['C0031', 0.8842150157447252]]"
C0004,"[['C0155', 0.9736203742766467], ['C0165', 0.954676278349485], ['C0169', 0.9471664549206747]]"
C0005,"[['C0146', 0.9693604545072987], ['C0186', 0.9608486635157301], ['C0130', 0.8204288583639459]]"
C0006,"[['C0168', 0.9742038524482126], ['C0171', 0.9728366380385514], ['C0187', 0.9663392853927287]]"
C0007,"[['C0140', 0.9724210075734376], ['C0115', 0.90622826330719], ['C0020', 0.8110113077529856]]"
C0008,"[['C0038', 0.846103574489786], ['C0189', 0.8446410072492467], ['C0160', 0.8434158605722757]]"
C0009,"[['C0010', 0.98080058465479], ['C0111', 0.9780572917364648], ['C0198', 0.9695360283616481]]"
C0010,"[['C0111', 0.9950996476027949], ['C0009', 0.98080058465479], ['C0198', 0.9794764919294137]]"
C0011,"[['C0137', 0.9623906937702442], ['C0169', 0.960305464636336], ['C0126', 0.9572360560594388]]"
C0012,"[['C0104', 0.9583980497440202], ['C0113', 0.9283254711126852], ['C0163', 0.916181070850778]]"
C0013,"[['C0099', 0.9906840022409866], ['C0108', 0.9104224078398291], ['C0143', 0.8800060930524938]]"
C0014,"[['C0060', 0.9749465492242092], ['C0172', 0.9375944235803547], ['C0128', 0.9253449695967414]]"
C0015,"[['C0036', 0.9812104332071949], ['C0131', 0.9719030690479622], ['C0094', 0.8848511992382696]]"
C0016,"[['C0183', 0.9998796055746817], ['C0067', 0.9625565401895951], ['C0042', 0.8653967948954256]]"
C0017,"[['C0075', 0.9497390445925782], ['C0081', 0.9142609458793913], ['C0057', 0.9096577828215426]]"
C0018,"[['C0117', 0.9724844292433095], ['C0046', 0.9183092348756426], ['C0185', 0.8958023411760393]]"
C0019,"[['C0121', 0.9723227592697831], ['C0132', 0.8570780752647247], ['C0043', 0.8420075444585019]]"
C0020,"[['C0140', 0.862893468550327], ['C0050', 0.8308370171531926], ['C0007', 0.8110113077529856]]"
